entry_time,direction,entry_price,stop_price,tp_price,exit_time,exit_price,pnl,gap_start,gap_end
2025-10-20 08:50:00+00:00,bullish,6719.125,6709.125,6739.125,2025-10-20 13:30:00+00:00,6739.125,20.0,2025-10-20 02:00:00+00:00,2025-10-20 04:00:00+00:00
2025-10-20 20:00:00+00:00,bullish,6772.125,6762.125,6792.125,2025-10-21 13:57:00+00:00,6762.125,-10.0,2025-10-20 16:00:00+00:00,2025-10-20 18:00:00+00:00
2025-10-21 13:08:00+00:00,bullish,6772.375,6762.375,6792.375,2025-10-21 13:57:00+00:00,6762.375,-10.0,2025-10-21 10:00:00+00:00,2025-10-21 12:00:00+00:00
2025-10-21 14:52:00+00:00,bearish,6778.625,6788.625,6758.625,2025-10-21 16:46:00+00:00,6788.625,-10.0,2025-10-21 02:00:00+00:00,2025-10-21 04:00:00+00:00
2025-10-21 22:00:00+00:00,bearish,6776.625,6786.625,6756.625,2025-10-22 04:11:00+00:00,6786.625,-10.0,2025-10-21 18:00:00+00:00,2025-10-21 20:00:00+00:00
2025-10-22 06:00:00+00:00,bullish,6780.25,6770.25,6800.25,2025-10-22 09:12:00+00:00,6770.25,-10.0,2025-10-22 03:00:00+00:00,2025-10-22 05:00:00+00:00
2025-10-22 07:06:00+00:00,bullish,6778.125,6768.125,6798.125,2025-10-22 11:10:00+00:00,6768.125,-10.0,2025-10-22 02:00:00+00:00,2025-10-22 04:00:00+00:00
2025-10-22 14:27:00+00:00,bullish,6758.5,6748.5,6778.5,2025-10-22 14:31:00+00:00,6748.5,-10.0,2025-10-20 13:00:00+00:00,2025-10-20 15:00:00+00:00
2025-10-22 14:46:00+00:00,bullish,6740.75,6730.75,6760.75,2025-10-22 15:01:00+00:00,6760.75,20.0,2025-10-20 12:00:00+00:00,2025-10-20 14:00:00+00:00
2025-10-22 16:30:00+00:00,bullish,6728.25,6718.25,6748.25,2025-10-22 16:30:00+00:00,6718.25,-10.0,2025-10-20 11:00:00+00:00,2025-10-20 13:00:00+00:00
2025-10-22 23:57:00+00:00,bullish,6727.75,6717.75,6747.75,2025-10-23 00:03:00+00:00,6717.75,-10.0,2025-10-22 18:00:00+00:00,2025-10-22 20:00:00+00:00
2025-10-23 04:13:00+00:00,bullish,6741.875,6731.875,6761.875,2025-10-23 11:11:00+00:00,6731.875,-10.0,2025-10-23 00:00:00+00:00,2025-10-23 02:00:00+00:00
2025-10-23 19:50:00+00:00,bullish,6775.375,6765.375,6795.375,2025-10-24 06:10:00+00:00,6795.375,20.0,2025-10-23 16:00:00+00:00,2025-10-23 18:00:00+00:00
2025-10-24 00:06:00+00:00,bullish,6779.0,6769.0,6799.0,2025-10-24 11:55:00+00:00,6799.0,20.0,2025-10-23 20:00:00+00:00,2025-10-23 23:00:00+00:00
2025-10-24 07:25:00+00:00,bullish,6789.625,6779.625,6809.625,2025-10-24 12:30:00+00:00,6809.625,20.0,2025-10-24 04:00:00+00:00,2025-10-24 06:00:00+00:00
2025-10-26 22:00:00+00:00,bearish,6831.375,6841.375,6811.375,2025-10-26 22:00:00+00:00,6841.375,-10.0,2025-10-24 18:00:00+00:00,2025-10-24 20:00:00+00:00
2025-10-27 08:04:00+00:00,bullish,6881.375,6871.375,6901.375,2025-10-27 19:37:00+00:00,6901.375,20.0,2025-10-27 04:00:00+00:00,2025-10-27 06:00:00+00:00
2025-10-28 05:37:00+00:00,bullish,6902.875,6892.875,6922.875,2025-10-28 13:03:00+00:00,6922.875,20.0,2025-10-27 18:00:00+00:00,2025-10-27 20:00:00+00:00
2025-10-28 10:25:00+00:00,bearish,6910.5,6920.5,6890.5,2025-10-28 13:02:00+00:00,6920.5,-10.0,2025-10-27 23:00:00+00:00,2025-10-28 01:00:00+00:00
2025-10-28 13:47:00+00:00,bullish,6911.25,6901.25,6931.25,2025-10-28 17:50:00+00:00,6931.25,20.0,2025-10-28 10:00:00+00:00,2025-10-28 12:00:00+00:00
2025-10-28 19:41:00+00:00,bullish,6930.5,6920.5,6950.5,2025-10-29 13:56:00+00:00,6950.5,20.0,2025-10-28 16:00:00+00:00,2025-10-28 18:00:00+00:00
2025-10-28 22:00:00+00:00,bearish,6929.625,6939.625,6909.625,2025-10-29 02:50:00+00:00,6939.625,-10.0,2025-10-28 18:00:00+00:00,2025-10-28 20:00:00+00:00
2025-10-29 07:22:00+00:00,bullish,6939.375,6929.375,6959.375,2025-10-29 18:03:00+00:00,6929.375,-10.0,2025-10-29 04:00:00+00:00,2025-10-29 06:00:00+00:00
2025-10-29 09:34:00+00:00,bullish,6931.375,6921.375,6951.375,2025-10-29 13:57:00+00:00,6951.375,20.0,2025-10-29 00:00:00+00:00,2025-10-29 02:00:00+00:00
2025-10-29 10:09:00+00:00,bearish,6938.5,6948.5,6918.5,2025-10-29 11:36:00+00:00,6948.5,-10.0,2025-10-29 07:00:00+00:00,2025-10-29 09:00:00+00:00
2025-10-29 18:35:00+00:00,bullish,6920.5,6910.5,6940.5,2025-10-29 18:35:00+00:00,6910.5,-10.0,2025-10-28 15:00:00+00:00,2025-10-28 17:00:00+00:00
2025-10-29 20:00:00+00:00,bearish,6929.75,6939.75,6909.75,2025-10-29 20:01:00+00:00,6939.75,-10.0,2025-10-29 17:00:00+00:00,2025-10-29 19:00:00+00:00
2025-10-30 04:05:00+00:00,bullish,6941.625,6931.625,6961.625,2025-10-30 04:09:00+00:00,6931.625,-10.0,2025-10-30 01:00:00+00:00,2025-10-30 03:00:00+00:00
2025-10-30 04:10:00+00:00,bullish,6922.125,6912.125,6942.125,2025-10-30 04:14:00+00:00,6912.125,-10.0,2025-10-29 22:00:00+00:00,2025-10-30 00:00:00+00:00
2025-10-30 04:10:00+00:00,bullish,6925.5,6915.5,6945.5,2025-10-30 04:11:00+00:00,6915.5,-10.0,2025-10-29 23:00:00+00:00,2025-10-30 01:00:00+00:00
2025-10-30 13:36:00+00:00,bullish,6873.75,6863.75,6893.75,2025-10-30 13:48:00+00:00,6893.75,20.0,2025-10-27 01:00:00+00:00,2025-10-27 03:00:00+00:00
2025-10-30 13:36:00+00:00,bullish,6876.0,6866.0,6896.0,2025-10-30 13:48:00+00:00,6896.0,20.0,2025-10-27 02:00:00+00:00,2025-10-27 04:00:00+00:00
2025-10-30 14:00:00+00:00,bearish,6913.625,6923.625,6893.625,2025-10-30 14:13:00+00:00,6893.625,20.0,2025-10-30 11:00:00+00:00,2025-10-30 13:00:00+00:00
2025-10-30 19:59:00+00:00,bullish,6853.375,6843.375,6873.375,2025-10-30 20:01:00+00:00,6873.375,20.0,2025-10-24 19:00:00+00:00,2025-10-26 22:00:00+00:00
