time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Volume
1760913720,6715.75,6717,6715.25,6716.25,6717.304510298951,6719.580842337287,6715.028178260614,216
1760913780,6716.75,6717,6715.5,6716,6717.295351102101,6719.564781611655,6715.025920592548,135
1760913840,6715.75,6716.25,6715.5,6716,6717.288642971579,6719.554577401322,6715.022708541836,82
1760913900,6715.5,6716.5,6715.5,6716.5,6717.284530495616,6719.547324400334,6715.021736590898,62
1760913960,6716.5,6717.25,6716.25,6717.25,6717.281489407443,6719.53515693202,6715.027821882865,141
1760914020,6717,6717,6716.25,6716.75,6717.278333527765,6719.526638914012,6715.030028141518,88
1760914080,6716.5,6716.75,6715.5,6716.5,6717.27171834251,6719.51428792931,6715.029148755711,111
1760914140,6716.5,6716.75,6716,6716.25,6717.270089673128,6719.511052733017,6715.029126613238,30
1760914200,6716.25,6716.5,6715.5,6716.25,6717.262788446797,6719.498773867451,6715.026803026142,107
1760914260,6716.25,6716.5,6715.75,6716.5,6717.259537864895,6719.492667033921,6715.026408695869,56
1760914320,6716.5,6716.5,6715.25,6715.25,6717.25046064129,6719.480443579109,6715.020477703471,100
1760914380,6715.25,6716.25,6715.25,6716,6717.245952624406,6719.473815497888,6715.0180897509235,56
1760914440,6716,6716.5,6716,6716.5,6717.243367886411,6719.468602216296,6715.018133556526,50
1760914500,6716.5,6716.5,6716,6716.25,6717.241850951117,6719.46572389732,6715.017978004915,27
1760914560,6716.5,6717.25,6715.75,6716,6717.233703267756,6719.44923797569,6715.018168559822,160
1760914620,6715.75,6716,6715.25,6716,6717.225680120417,6719.437894023062,6715.013466217772,97
1760914680,6716,6716.5,6715.5,6715.5,6717.2186523563905,6719.427481119315,6715.009823593466,91
1760914740,6715.5,6716,6715.5,6716,6717.212989559743,6719.419070597035,6715.00690852245,74
1760914800,6716,6716.5,6714.5,6715.25,6717.187266325458,6719.38786781239,6714.986664838526,263
1760914860,6715.25,6716,6714,6714,6717.157832427489,6719.362242189895,6714.953422665082,217
1760914920,6714,6714.5,6712.75,6713.5,6717.088421015604,6719.3263559518455,6714.850486079362,368
1760914980,6713.25,6713.75,6712.25,6713,6717.018238080423,6719.299551252307,6714.736924908539,331
1760915040,6713,6714.5,6712.75,6714.5,6716.974156441719,6719.268758941027,6714.679553942411,278
1760915100,6714.5,6714.75,6712.5,6712.75,6716.887660544355,6719.221658987405,6714.553662101304,476
1760915160,6713,6713.5,6712,6713,6716.822358082893,6719.1930750607535,6714.451641105032,328
1760915220,6713,6713,6711.75,6712.5,6716.7529402287755,6719.168050597142,6714.337829860409,326
1760915280,6712.75,6713,6712,6713,6716.73720109132,6719.160908726066,6714.313493456573,80
1760915340,6713,6713.75,6712.75,6713,6716.668248422181,6719.118219636435,6714.218277207927,409
1760915400,6713.25,6714,6713.25,6714,6716.605025098548,6719.065273684355,6714.144776512741,469
1760915460,6713.75,6713.75,6713,6713.25,6716.591479590274,6719.055601414935,6714.127357765612,90
1760915520,6713.25,6713.75,6712.5,6713.75,6716.5446497392895,6719.021544874798,6714.067754603781,317
1760915580,6713.75,6714,6712.75,6713,6716.528299120236,6719.009864158197,6714.046734082274,110
1760915640,6713.25,6713.25,6712.25,6712.5,6716.461190908958,6718.972324310589,6713.950057507327,392
1760915700,6712.5,6713,6711.75,6712.75,6716.424480996722,6718.952606797856,6713.8963551955885,211
1760915760,6712.75,6713,6712,6712,6716.410156250001,6718.9453960031715,6713.87491649683,80
