ticker,cik,accession,primary,filing_date,MD&A_pos,MD&A_neg,MD&A_sent,MD&A_boost,Results_pos,Results_neg,Results_sent,Results_boost,sent_overall,close_0,close_7,close_28,ret_7,ret_28,RiskFactors_pos,RiskFactors_neg,RiskFactors_sent,RiskFactors_boost
HZO,0001057060,000095017025098321,hzo-20250630.htm,2025-07-24,0.0003678568395011033,0.30819110310899794,-0.5078232462694969,-0.2,0.0009737407090142369,0.01136279758065939,-0.010389056871645153,0.0,-0.25910615157057104,22.71,22.68,25.58,-0.13210039630119352,12.6376045794804,,,,
HZO,0001057060,000095017025058103,hzo-20250331.htm,2025-04-24,0.0023569394678071894,0.29052772285521394,-0.38817078338740674,-0.1,0.0006939821178093553,0.007861542515456676,-0.007167560397647321,0.0,-0.19766917189252703,22.67,22.1,21.51,-2.51433612704014,-5.116894574327302,,,,
HZO,0001057060,000095017025008305,hzo-20241231.htm,2025-01-23,0.10056948709968765,0.2129533101282391,-0.21238382302855147,-0.1,0.0010464686201885343,0.015945609658956528,-0.014899141038767993,0.0,-0.11364148203365973,32.37,30.43,27.84,-5.9932035835650215,-13.994439295644112,,,,
HZO,0001057060,000095017024086479,hzo-20240630.htm,2024-07-25,0.01810934109492261,0.3335215447274109,-0.4154122036324883,-0.1,0.0008238256559707224,0.012199396267533302,-0.01137557061156258,0.0,-0.21339388712202545,37.1,32.72,30.02,-11.80592991913747,-19.08355795148249,,,,
HZO,0001057060,000095017024048260,hzo-20240331.htm,2024-04-25,0.010429585506451323,0.2739834488228636,-0.36355386331641226,-0.1,0.0005904286517761648,0.010187624022364616,-0.009597195370588452,0.0,-0.18657552934350036,25.6,25.25,27.04,-1.3671875,5.624999999999991,,,,
HZO,0001057060,000095017024007382,hzo-20231231.htm,2024-01-25,0.006248864089957351,0.29599872669538174,-0.38974986260542444,-0.1,0.00033546649501658976,0.0010805058991536498,-0.00074503940413706,0.0,-0.19524745100478075,28.37,29.92,32.19,5.463517800493478,13.46492774057102,,,,
STRC,0001050446,000095017025102209,mstr-20250630.htm,2025-08-05,9.91963897831738e-05,2.037965714407619e-05,7.881673263909761e-05,0.0,0.00047372878179885447,0.00037457176949828863,9.915701230056584e-05,0.0,-0.08441220352627472,96.5,97.79,97.48,1.3367875647668503,1.0155440414507888,0.028249280527234077,0.2816638648509979,-0.25341458432376385,0.0
STRC,0001050446,000095017025063536,mstr-20250331.htm,2025-05-05,5.653776679537259e-05,1.616778172319755e-05,4.036998507217504e-05,0.0,0.00013572101306635886,8.924693975131959e-05,4.647407331503928e-05,0.0,-0.07456489028481883,,,,,,0.0297916941344738,0.2535732090473175,-0.2237815149128437,0.0
STRC,0001050446,000095017024119263,mstr-20240930.htm,2024-10-31,7.283369632204995e-05,1.6307410987792537e-05,5.652628533425741e-05,0.0,0.00027340155793353915,0.00021962208847980946,5.377946945372969e-05,0.0,-0.07417421045950807,,,,,,0.04994381219148636,0.2725767493247986,-0.22263293713331223,0.0
STRC,0001050446,000095017024091778,mstr-20240630.htm,2024-08-06,9.53946728259325e-05,1.8605076547828503e-05,7.6789596278104e-05,0.0,0.0005798483616672456,0.0002528027107473463,0.00032704565091989934,0.0,-0.07407636729537141,,,,,,0.04994381219148636,0.2725767493247986,-0.22263293713331223,0.0
STRC,0001050446,000095017024051230,mstr-20240331.htm,2024-05-01,6.0418955399654806e-05,2.05963497137418e-05,3.9822605685913004e-05,0.0,0.00018359873502049595,0.000128710555145517,5.488817987497896e-05,0.0,-0.05119281046972901,,,,,,0.074647918343544,0.22832106053829193,-0.15367314219474792,0.0
STRC,0001050446,000095017023057418,mstr-20230930.htm,2023-11-01,6.0418955399654806e-05,2.05963497137418e-05,3.9822605685913004e-05,0.0,0.00018359873502049595,0.000128710555145517,5.488817987497896e-05,0.0,-0.06702872895584733,0.52,0.5502,0.6463,5.807692307692314,24.288461538461537,0.03772198408842087,0.23890288174152374,-0.20118089765310287,0.0
GWRS,0001434728,000143472825000265,gwrs-20250630.htm,2025-08-13,4.3754978833021596e-05,2.0883642719127238e-05,2.2871336113894358e-05,0.0,0.0001321945310337469,0.00018225402163807303,-5.005949060432613e-05,0.0,-0.06728149735014692,10.28,9.7,9.69,-5.642023346303504,-5.7392996108949434,0.05964583158493042,0.26146313548088074,-0.20181730389595032,0.0
GWRS,0001434728,000143472825000169,gwrs-20250331.htm,2025-05-14,5.04202107549645e-05,2.6604575396049768e-05,2.3815635358914733e-05,0.0,0.0001472498115617782,0.00022112323495093733,-7.387342338915914e-05,0.0,-0.08883782139067382,10.08,10.2,10.66,1.1904761904761862,5.753968253968256,0.07868804782629013,0.34515145421028137,-0.26646340638399124,0.0
GWRS,0001434728,000143472824000381,gwrs-20240930.htm,2024-11-06,3.515271964715794e-05,1.7065811334759928e-05,1.808690831239801e-05,0.0,0.0001977787760552019,0.00019897916354238987,-1.2003874871879816e-06,0.0,-0.05121875189130757,13.5,12.68,12.89,-6.074074074074076,-4.51851851851851,0.074647918343544,0.22832106053829193,-0.15367314219474792,0.0
GWRS,0001434728,000143472824000280,gwrs-20240630.htm,2024-08-07,6.819019472459331e-05,1.7176846085931174e-05,5.101334863866214e-05,0.0,0.00028768423362635076,0.0002333889715373516,5.429526208899915e-05,0.0,-0.06137149462483649,11.95,11.7,12.1,-2.092050209205021,1.2552301255230214,0.06250956654548645,0.24672935903072357,-0.18421979248523712,0.0
