ticker,filing_date,bucket,Δsent_overall,pred_28d_pct,direction_rule,signal_strength,direction,filled,entry_date,exit_date,entry_price,exit_price,exit_reason,pnl_pct,bars_held
DE,2023-06-01,large,0.03905411387021569,6.402727724064521,dsent_sign,6.402727724064521,long,True,2023-06-01,2023-06-01,349.23,348.5468,tsl,-0.196,1
DE,2023-08-31,large,-0.025340807344796892,3.750784530667178,dsent_sign,3.750784530667178,short,True,2023-08-31,2023-09-01,414.05,418.8936,tsl,-1.156,2
DE,2024-02-29,large,0.041578141327380795,6.506673459359814,dsent_sign,6.506673459359814,long,True,2024-02-29,2024-03-01,366.37,361.4436,tsl,-1.345,2
DE,2024-05-30,large,-0.015573113946188495,4.1530424655304135,dsent_sign,4.1530424655304135,short,True,2024-05-30,2024-05-31,365.34,372.24899999999997,tsl,-1.856,2
DE,2025-05-29,large,-0.008171150306636066,4.457873758454014,dsent_sign,4.457873758454014,short,True,2025-05-29,2025-05-30,510.5,512.1216,tsl,-0.317,2
DE,2025-08-28,large,-0.010867277547826515,4.346840525539036,dsent_sign,4.346840525539036,short,True,2025-08-28,2025-08-29,495.0,484.11240000000004,tsl,2.249,2
ELF,2022-02-03,mid,0.01669659035663551,3.7363863404836835,dsent_sign,3.7363863404836835,long,True,2022-02-03,2022-02-03,29.95,30.037,tsl,0.29,1
ELF,2022-11-03,mid,0.01912347778003698,3.817520600194496,dsent_sign,3.817520600194496,long,True,2022-11-03,2022-11-03,45.31,47.471102,tsl,4.77,1
ELF,2023-02-02,mid,0.016699512597066812,3.736484035091107,dsent_sign,3.736484035091107,long,True,2023-02-02,2023-02-02,69.26,67.91341200000001,tsl,-1.944,1
ELF,2023-08-02,mid,-0.004492177555827481,3.028016029531059,dsent_sign,3.028016029531059,short,True,2023-08-02,2023-08-02,134.6,134.64000000000001,tsl,-0.03,1
ELF,2023-11-02,mid,0.004170250684789267,3.317613188354118,dsent_sign,3.317613188354118,long,True,2023-11-02,2023-11-02,105.584,106.82,tsl,1.171,1
ELF,2024-02-07,mid,-0.0017483159648085111,3.1197471814541413,dsent_sign,3.1197471814541413,short,True,2024-02-07,2024-02-07,171.16,163.7406,tsl,4.531,1
ELF,2024-08-09,mid,0.0020608830933876443,3.247094063183292,dsent_sign,3.247094063183292,long,True,2024-08-09,2024-08-09,167.27,165.62,tsl,-0.986,1
ELF,2024-11-07,mid,-0.0020608830933876443,3.1092976227549336,dsent_sign,3.1092976227549336,short,True,2024-11-07,2024-11-07,110.25,111.305664,tsl,-0.948,1
ELF,2025-02-07,mid,0.023217953355015253,3.9544046770892787,dsent_sign,3.9544046770892787,long,True,2025-02-07,2025-02-07,66.3,72.157302,tsl,8.835,1
